Project,Relation Type,SATD A,SATD B
Helix,SATD Repayment,"[2017-11-06 16:32:36][Lei Xia][code-comment][d54966557f0817ede7e28ea4af09597de4fcface]
*
 * Verifier that verifies whether the ExternalViews of given resources (or all resources in the cluster)
 * match exactly as its ideal mapping (in idealstate).
","[2017-11-06 16:32:36][Lei Xia][commit][d54966557f0817ede7e28ea4af09597de4fcface]
Add StrictMatchExternalViewVerifier that verifies whether the ExternalViews of given resources (or all resources in the cluster) match exactly as its ideal mapping (in idealstate)."
Trafodion,SATD Repayment,"[2017-10-02 00:13:35][Anoop Sharma][code-comment(deleted)][2eaef5d7a9b3beb1b4f45ab97899c2a4b6b7059e]
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
","[2017-10-02 00:13:35][Anoop Sharma][commit][2eaef5d7a9b3beb1b4f45ab97899c2a4b6b7059e]
PR-1251 [TRAFOFION-2731] CodeCleanup: Phase4: Removed lagacy/obsolete warning elimination pragmas"
Beam,No Relation,"[2016-11-12 09:11:09][amitsela][pull:comment][1332:260111020]
@staslev and I discussed this and this needs more thinking as the proposed solution here might still be affected by races in case of reusing context repeatedly (for example tests).
Let's discuss in JIRA and PR for review once we have a better solution.
","[2016-11-07 15:50:51][Amit Sela][issue:comment][BEAM-891:15644539]
Just to update: the mentioned failure occurred in build #43 and now we've successfully passed build #78.
Only (1) flake that did occur is related to streaming, which could be (truly) resolved only once triggers are implemented.

I suggest we leave this open while [~staslev] keeps investigating but if nothing comes up we should eventually close this."
Samza,SATD Duplication,"[2019-09-12 23:57:32][Sanil15][pull:summary][1152]
SAMZA-2319: [1/2] Simplify Container Allocation logic
","[2019-09-12 23:46:43][Sanil Jain][issue:summary][SAMZA-2319:13256440]
Simplify Container Allocator Logic"
Kafka,SATD Repayment,"[2020-09-24 02:37:17][Ismael Juma][commit][51957de80606609232d5346a0aa86a945173317d]
MINOR: Use JUnit 5 in raft module (#9331)

I also removed a test class with no tests currently (Jason filed KAFKA-10519 for
filling the test gap).

Reviewers: Jason Gustafson <jason@confluent.io>
","[2020-09-24 00:04:42][ijuma][pull:summary][9331]
I also removed a test class with no tests currently.

### Committer Checklist (excluded from commit message)
- [ ] Verify design and implementation 
- [ ] Verify test coverage and CI build status
- [ ] Verify documentation (including upgrade notes)"
Incubator Pinot,SATD Repayment,"[2020-05-29 14:08:03][Sidd][commit][b40dd992874f9bc38b911870e041a8f6e24c3776]
Faster bit unpacking (Part 1) (#5409)

* Faster bit unpacking

* Add unit tests

* new

* Improved degree of vectorization and more tests

* fix build

* cleanup

* docs

* change file name

* address review comments and add more benchmarks

Co-authored-by: Siddharth Teotia <steotia@steotia-mn1.linkedin.biz>
","[2020-05-18 22:59:26][siddharthteotia][pull:summary][5409]
Faster vectorized bit unpacking (Part 1)"
Druid,SATD Repayment,"[2019-05-15 14:49:50][Gian Merlino][commit][0352f450d738bd5b477709eea83ef449591deaad]
Fix broken links in docs, add broken link checker. (#7658)

Also adds back insert-segment-to-db.md with some docs about why and
when it was removed (in #6911).
","[2019-05-14 21:05:58][gianm][pull:summary][7658]
Fix broken links in docs, add broken link checker."
Hadoop,SATD Duplication,"[2020-10-19 16:38:27][steveloughran][pull:summary][2396]
HADOOP-17313. FileSystem.get to support slow-to-instantiate FS clients.
","[2020-10-19 14:31:24][Steve Loughran][issue:summary][HADOOP-17313:13336082]
FileSystem.get to support slow-to-instantiate FS clients"
Helix,No Relation,"[2014-08-28 10:00:43][Kanak Biscuitwala][code-comment][d8ec1ae7560118363e843283ce2f15f611aea099]
*
     * Clean up the connection to the spectated cluster
","[2014-08-25 23:56:12][Kanak Biscuitwala][issue:comment][HELIX-470:14110005]
Let's use the wiki page since that has the most up-to-date information."
Lucene Solr,No Relation,"[2013-10-24 16:42:14][Alan Woodward][code-comment][e7aec6b5327e5c0e67a11f8bbd821a1b69c38b44]
 Delete one document with commitWithin
","[2011-01-22 15:06:22][Robert Muir][issue:comment][LUCENE-2878:12985126]
bq. It's not that bad of a trap  I has warnings all over it - some people use it out there. I think it's more useful than trapful - if not just as demo code.

In this case maybe contrib?
And if we were careful/re-organized tests a bit, MultiSpansWrapper could be pkg-private."
Druid,SATD Repayment,"[2019-05-17 16:14:47][Jonathan Wei][code-comment][674310991d2fc3af2885df045b4d2f53bec2a164]
 Check for broken links
","[2019-05-14 21:05:58][gianm][pull:summary][7658]
Fix broken links in docs, add broken link checker."
Lucene Solr,No Relation,"[2013-10-24 16:42:14][Alan Woodward][code-comment][e7aec6b5327e5c0e67a11f8bbd821a1b69c38b44]
 TODO if a Term affects multiple fields, we could keep the updates key'd by Term
 so that it maps to all fields it affects, sorted by their docUpto, and traverse
 that Term only once, applying the update to all fields that still need to be
 updated.
","[2012-10-28 15:00:25][Michael McCandless][issue:comment][LUCENE-2878:13485637]
I'm still trying to catch up here (net/net this looks awesome!), but
here's some minor stuff I noticed:

Instead of PostingFeatures.isProximityFeature, can we just use
X.compareTo(PostingsFeatures.POSITIONS) >= 0?  (We do this for
IndexOptions).

Should we move PostingFeatures to its own source instead of hiding it
in Weight.java?

Can we put back single imports (not wildcard, eg ""import
org.apache.lucene.index.*"")?

PostingFeatures is very similar to FieldInfo.IndexOptions (except the
latter does not cover payloads) ... would be nice if we could somehow
combine them ..."
Beam,No Relation,"[2017-10-17 22:22:33][jkff][pull:comment][3729:145272906]
Document this and document the next constant too? (i.e. document how they are used and why the chosen values are reasonable)
","[2017-03-03 22:20:22][Guy Molinari][issue:comment][BEAM-1542:15895141]
I have created a fork called NextDevBoard and have checked in a very primitive version of this.  The checkstyle plugin is failing the build so I'm running -Dcheckstyle.skip=true until I can fix this.   There is much to do including lots and lots of cleanup.   Split bundles must be implemented for the Source but I wanted to get the Sink working first.   There are custom coders for the spanner Mutation and Struct classes."
Hudi,No Relation,"[2020-12-09 15:52:23][wenningd][commit][fce1453fa608fcff5df4d5aca8c88107d4151b09]
[HUDI-1040] Make Hudi support Spark 3 (#2208)

* Fix flaky MOR unit test

* Update Spark APIs to make it be compatible with both spark2 & spark3

* Refactor bulk insert v2 part to make Hudi be able to compile with Spark3

* Add spark3 profile to handle fasterxml & spark version

* Create hudi-spark-common module & refactor hudi-spark related modules

Co-authored-by: Wenning Ding <wenningd@amazon.com>
","[2020-10-30 21:45:31][zhedoubushishi][pull:comment][2208:515396682]
Because ```hudi-spark``` depends on ```hudi-spark2```. I cannot also let ```hudi-spark2``` depends on ```hudi-spark``` tho copying files is not a clean way."
Geode,SATD Repayment,"[2019-07-22 15:31:43][Juan José Ramos][commit][b86837818dcd6901a2249d295bca54c617057aa0]
GEODE-6875: Remove unused & deprecated API usage (#3813)

- Fixed warnings.
- Replaced deprecated API in Http Session.
- Replaced usage of internal API in Http Session.
- Removed unused classes and methods in Http Session.
","[2019-07-18 19:17:33][jujoramos][pull:summary][3813]
GEODE-6875: Remove unused & deprecated API usage"
Systemds,SATD Repayment,"[2015-11-27 20:57:12][Matthias Boehm][code-comment][649dfbfdff2a58b6028360a9118ab19c50491e84]
avoid unnecessary caching of input in order to reduce memory pressure
","[2015-11-27 20:57:12][Matthias Boehm][commit][649dfbfdff2a58b6028360a9118ab19c50491e84]
Improved rdd checkpoint injection (avoid unnecessary input caching)"
Zookeeper,No Relation,"[2016-11-06 06:54:27][hanm][pull:comment][96:86680275]
Agreed, both places are updated to use asserts and removed logging.
","[2016-10-11 12:45:55][Flavio Paiva Junqueira][issue:comment][ZOOKEEPER-2014:15565322]
Thanks for fixing it. I see the point of stability, but I don't think it is much of a concern in this case. You're just building on top of the ZooKeeper, you won't be re-wiring the existing ZooKeeper client code, I think. If I'm right, then it is better to have a single connection to the service rather than two, one for the ZooKeeper object and another for ZooKeeperAdmin. In any case, it might be worth giving it a shot to get a sense of whether it'd cause trouble."
Trafficserver,SATD Repayment,"[2020-11-30 10:45:48][Brian Neradt][commit][8eb68266167d8f8b3fa3a00ca9f6b7889e8ec101]
Add negative caching tests and fixes. (#7361)

This adds test coverage for the negative caching feature and makes some
fixes as a result of the test's findings.
","[2020-11-30 17:32:47][bneradt][pull:summary][7361]
Add negative caching tests and fixes."
Kafka,No Relation,"[2017-08-03 00:57:07][ijuma][pull:comment][3612:131032652]
We can remove the comment above now, right?
","[2017-02-09 17:38:05][Ismael Juma][issue:comment][KAFKA-2507:15859871]
[~mimaison], the benefit of this is relatively small with a high operational cost for people upgrading from 0.8.x. I think I'd remove this at the same time as we remove the old clients (we can then remove all of the Scala request, response and messages code). And given that we got pushback for the deprecation of the old consumer, I think it's unlikely that the old consumer will be removed in 0.11 (more likely the major version after that)."
Cxf,No Relation,"[2015-04-24 12:21:41][Sergey Beryozkin][code-comment][90873c41ab1e632f71a355ef63e67a4b29252ef4]
 TODO Auto-generated method stub
","[2015-04-24 12:21:41][Sergey Beryozkin][commit][90873c41ab1e632f71a355ef63e67a4b29252ef4]
[CXF-6369] Preventing duplicate registrations in ConfigurationImpl"
Systemds,SATD Repayment,"[2013-12-04 11:24:34][MATTHIAS BOEHM][code-comment][e6965ead22f89ef07d44d9289877909ba01cf47b]
 compile body to CP if exec type forced to MR
export only read variables according to live variable analysis
cleanup pinned variables according to live variable analysis
","[2013-12-04 11:24:34][MATTHIAS BOEHM][commit][e6965ead22f89ef07d44d9289877909ba01cf47b]
20974: ParFor construct - Enhanced export and cleanup unpinned variables (live variable awareness)"
Tvm,No Relation,"[2020-03-07 13:30:13][Zhi][code-comment][28ee806dcbd803f4079365dd308a673bd1a89588]
 Inline the functions that have been lifted by the module scope.

 TODO(@zhiics) Note that we need to be careful about the subgraphs with
 global function calls. We should make sure that these callees are also
 inline functions. However, this should be very unlikely for accelerators
 and vendor-provided libraries. So we don't handle for now.
","[2020-03-06 23:39:19][zhiics][pull:comment][4996:389194638]
Let's keep the previous one as it tests the lifting. We can create a separate one to test batch_norm with inline. There are a few other tests for outlining and inlining tests in this file as well. I think this should be enough."
Ozone,SATD Duplication,"[2019-12-11 15:56:35][sodonnel][pull:summary][343]
HDDS-2607 DeadNodeHandler should not remove replica for a dead maintenance node
","[2019-11-21 13:11:55][Stephen O'Donnell][issue:summary][HDDS-2607:13269840]
DeadNodeHandler should not remove replica for a dead maintenance node"
Tinkerpop,SATD Repayment,"[2015-05-14 11:52:47][Marko A. Rodriguez][code-comment(deleted)][05f5114fdceadd5b81efd4e1d6600fd3d1f966eb]
 TODO: Step.teleport(traverser, step)
","[2015-05-14 11:52:47][Marko A. Rodriguez][commit][05f5114fdceadd5b81efd4e1d6600fd3d1f966eb]
lots of TODOs removed and or solved."
Lucene Solr,SATD Repayment,"[2016-04-04 12:51:03][Robert Muir][commit][c1a3e1b8d04ffc94e502b086e0544c0e0494d5a8]
LUCENE-7159: Speed up LatLonPoint point-in-polygon performance
","[2016-04-01 02:56:38][Robert Muir][issue:summary][LUCENE-7159:12955174]
improve spatial point/rect vs. polygon performance"
Hive,SATD Repayment,"[2017-05-16 08:13:28][Peter Vary][commit][1b8ba022c26ef929f35dc12c5c70e1683fa2e373]
HIVE-15726: Reenable indentation checks to checkstyle (Peter Vary via Zoltan Haindrich)

Signed-off-by: Zoltan Haindrich <kirk@rxd.hu>
","[2017-01-25 15:56:14][Peter Vary][issue:summary][HIVE-15726:13037736]
Reenable indentation checks to checkstyle"
Hive,SATD Repayment,"[2015-03-23 06:46:44][Rui Li][commit][f2d73e9341c75abee41a1366d2bd4f786d4a1cda]
HIVE-10006: RSC has memory leak while execute multi queries.[Spark Branch] (Chengxiang via Rui, reviewed by Xuefu)

git-svn-id: https://svn.apache.org/repos/asf/hive/branches/spark@1668521 13f79535-47bb-0310-9956-ffa450edef68
","[2015-03-18 09:41:51][Chengxiang Li][issue:summary][HIVE-10006:12782804]
RSC has memory leak while execute multi queries.[Spark Branch]"
Flink,No Relation,"[2019-02-11 12:01:22][StefanRRichter][pull:comment][7662:255477727]
Hm, this class is separated into sections by the comments that where in the original code. Are you suggesting to remove this separation altogether or maybe just move public methods to the top in their section?
","[2018-09-26 10:03:41][Stefan Richter][issue:summary][FLINK-10431:13187558]
The other half of the current scheduling logic is the management of slot sharing and is located in the SlotPool. We need to extract this logic into our new Scheduler component from the previous step. This leaves us with a simpler SlotPool that mainly cares about obtaining, holding, and releasing slots in interaction with a ResourceManager. The new Scheduler can now identify slot sharing groups and interacts with the SlotPool."
Beam,No Relation,"[2016-09-12 17:40:03][Thomas Groh][code-comment][d056f4661da2cc399cab44c6604eaa61d1dfd178]
*
   * Annotation for the method to use to clean up this instance after processing bundles of
   * elements. No other method will be called after a call to the annotated method is made.
   * The method annotated with this must satisfy the following constraint:
   * <ul>
   *   <li>It must have zero arguments.
   * </ul>
","[2016-09-12 17:40:03][Thomas Groh][commit][d056f4661da2cc399cab44c6604eaa61d1dfd178]
Add DoFn @Setup and @Teardown

Methods annotated with these annotations are used to perform expensive
setup work and clean up a DoFn after another method throws an exception
or the DoFn is discarded."
Superset,No Relation,"[2016-10-11 17:54:40][Bogdan][code-comment][73cd2ea3b17574f8fef1112aa5e5b39f843882f6]
 TODO: support druid datasources.
","[2016-10-07 03:38:05][bkyryliuk][pull:comment][1197:252145871]
@mistercrunch - please take another look. PR is getting bigger :(
There is quite some code duplication, but I can't find an easy way to tackle that in this PR."
Kafka,No Relation,"[2020-01-09 18:20:34][hachikuji][pull:comment][7312:364890245]
I'm ok removing this API in spite of the compatibility concern. It's just that the other constructors are ""standard"" exception constructors and we have no real need to remove them.
","[2019-06-07 13:05:47][Andrew Olson][issue:comment][KAFKA-8421:16858616]
It would be helpful to design and build a stress test harness for exhaustive verification of this, since it seems like quite complex and critical functionality. We could embark on that effort now, and use it to more fully illustrate the weaknesses of the current behavior along with making sure we have adequate logging in place for insight into what's going on deep in the consumer internals."
Hive,SATD Repayment,"[2015-03-23 06:46:44][Rui Li][commit][f2d73e9341c75abee41a1366d2bd4f786d4a1cda]
HIVE-10006: RSC has memory leak while execute multi queries.[Spark Branch] (Chengxiang via Rui, reviewed by Xuefu)

git-svn-id: https://svn.apache.org/repos/asf/hive/branches/spark@1668521 13f79535-47bb-0310-9956-ffa450edef68
","[2015-03-18 09:41:51][Chengxiang Li][issue:summary][HIVE-10006:12782804]
RSC has memory leak while execute multi queries.[Spark Branch]"
Incubator Doris,SATD Repayment,"[2019-05-24 22:02:09][Mingyu Chen][commit][08c8caeacf7efa02d2a365c872c25311c2bbfc43]
Add max cache size to ClientCache in BE (#1202)

Currently, unlimited client cache pool may cause too many connections in FE
","[2019-05-24 09:27:42][morningman][issue:summary][1201]
Too many thrift connection from BE to FE"
Flink,SATD Repayment,"[2017-02-18 19:19:34][Alexey Diomin][commit][53134594644407d0a3cd691b0e93ae09ff6c8102]
[FLINK-5497] [tests] Remove duplicated tests for hash tables

This closes #3089
","[2017-01-15 20:11:39][Alexey Diomin][issue:summary][FLINK-5497:13035051]
remove duplicated tests"
Shardingsphere,SATD Repayment,"[2018-08-02 17:17:50][saaav][code-comment(deleted)][6392ba96aad8ec6eff5a3202acbda0d4bdcfc0af]
 todo Split up into two classes, one use exec() and other use getResult()
","[2018-08-02 17:17:50][saaav][commit][6392ba96aad8ec6eff5a3202acbda0d4bdcfc0af]
todo Split up into two classes, one use exec() and other use getResult()"
Spark,SATD Repayment,"[2015-04-01 18:36:06][Reynold Xin][commit][899ebcb1448126f40be784ce42e69218e9a1ead7]
[SPARK-6578] Small rewrite to make the logic more clear in MessageWithHeader.transferTo.

Author: Reynold Xin <rxin@databricks.com>

Closes #5319 from rxin/SPARK-6578 and squashes the following commits:

7c62a64 [Reynold Xin] Small rewrite to make the logic more clear in transferTo.
","[2015-04-01 23:20:56][rxin][pull:summary][5319]
[SPARK-6578] Small rewrite to make the logic more clear in MessageWithHeader.transferTo."
Fluo,SATD Repayment,"[2014-08-07 15:05:08][Mike Walch][commit][0cdf7dba6ed142a2f076155a95624125e32efb32]
Merge pull request #109 from keith-turner/fluo-26

fixes #26 made lock recovery more efficient by caching and batching
","[2014-07-31 22:10:31][keith-turner][pull:summary][109]
fixes #26 made lock recovery more efficient by caching and batching"
Qpid Dispatch,SATD Repayment,"[2020-12-10 13:25:11][Kenneth Giusti][code-comment][2f6498f95fd313dbc653acdd1e43adb28a358f7a]
 cleanup outstanding requests
","[2020-12-10 13:25:11][Kenneth Giusti][commit][2f6498f95fd313dbc653acdd1e43adb28a358f7a]
DISPATCH-1744: fix cleanup of outstanding requests"
Kafka,SATD Duplication,"[2021-02-17 21:52:48][Ron Dagostino][code-comment][d77759d0fe64094a26a6aeaecebc045be317af6f]
 TODO: The `BatchReader` might need to read from disk if this is
 not a leader. We want to move this IO to the state machine so that
 it does not block Raft replication
","[2021-02-17 23:49:31][cmccabe][pull:comment][10113:780929991]
I think this is mostly ready to go.  I left a few small comments.  Let's resolve the 32-bit / 64-bit raft leader epoch thing elsewhere so we can get this in for 2.8..."
Bookkeeper,SATD Duplication,"[2018-12-08 09:26:49][sijie][pull:summary][1868]
BP-37: Improve configuration management for better documentation
","[2018-12-08 01:48:26][sijie][issue:summary][1867]
BP-37: Improve configuration management for better documentation"
Incubator Pinot,SATD Repayment,"[2018-09-27 18:39:45][Xiaotian Jiang][commit][e5ec0f9cdf60b341fd2373da12420c89367e19a2]
Simplify the parameter for forward index creators (#3208)

Also move method getNumBitsPerValue() into PinotDataBitSet and re-implement it without using double
","[2018-09-21 00:50:00][Jackie-Jiang][pull:summary][3208]
Simplify the parameter for forward index creators"
Hbase,No Relation,"[2019-12-16 02:07:22][Apache9][pull:comment][941:358029239]
Could do this in the future. But the logic will be a bit complicated then.
","[2019-12-16 02:58:03][Allan Yang][issue:comment][HBASE-23326:16996935]
It's a nice approach to put all the procedures in a region.  Is it this region co-located with Master? If so, it is great! Indeed a design doc is needed to understand it."
Incubator Pinot,SATD Repayment,"[2020-05-29 14:08:03][Sidd][commit][b40dd992874f9bc38b911870e041a8f6e24c3776]
Faster bit unpacking (Part 1) (#5409)

* Faster bit unpacking

* Add unit tests

* new

* Improved degree of vectorization and more tests

* fix build

* cleanup

* docs

* change file name

* address review comments and add more benchmarks

Co-authored-by: Siddharth Teotia <steotia@steotia-mn1.linkedin.biz>
","[2020-05-18 22:59:26][siddharthteotia][pull:summary][5409]
Faster vectorized bit unpacking (Part 1)"
Trafficcontrol,No Relation,"[2020-02-17 10:09:41][mattjackson220][code-comment][18fe13ac638557b5532813bce8ab3ad2d964fe49]
 The following two types are not official BCP47, but we support them to
 give access to this otherwise hidden functionality. The name blanked is
 derived from the LDML name blanked and posix reflects the main use of
 the shift-trimmed option.
","[2019-10-16 20:42:25][mattjackson220][pull:comment][3534:335698703]
yes. ill update the docs for those too."
Incubator Doris,SATD Repayment,"[2019-09-19 17:37:02][ZHAO Chun][commit][17e52a4bacec63179525143a8e862e8bf68c9d7b]
Improve LRUCache to get better performance (#1826)

In this CL, I move the entry's deleter out of LRUCache's mutex block,
which can let others access this cache without waiting free cache entry.
","[2019-09-18 12:25:15][imay][pull:summary][1826]
Improve LRUCache to get better performance"
Samza,SATD Repayment,"[2017-08-17 11:16:10][Fred Ji][commit][e21ff714637238e9fe1011a9f4f20699f1e9e471]
SAMZA-1400: disabling flaky test testTwoStreamProcessors in TestZkStreamProcessorSession

In this SAMZA-1400, We are disabling this flaky one in master and will cherry pick for 0.13.1. We have created a ticket SAMZA-1399 for fixing it in later build.

navina sborya Please take a look.

Author: Fred Ji <haifeng.ji@gmail.com>

Reviewers: Xinyu Liu <xinyu@apache.org>

Closes #278 from fredji97/SAMZA1400
","[2017-08-17 17:44:59][fredji97][pull:summary][278]
SAMZA-1400: disabling flaky test testTwoStreamProcessors in TestZkStreamProcessorSession"
Beam,SATD Repayment,"[2019-04-21 06:56:40][Thomas Weise][code-comment][ab8276823959b992332fb9212a40a62a998d2d42]
 fire cleanup timers, they can only execute after the bundle is complete
 as they remove the state that the timer callback may rely on
","[2019-04-20 22:17:03][tweise][pull:comment][8351:485184090]
The state keys need to be encoded as NESTED currently. My attempt to use the ByteString directly caused the checkpoint failure. I reverted that and instead also encode the state key of cleanup timer NESTED. We should look into eliminating the redundant key encoding."
Phoenix,SATD Repayment,"[2019-04-19 20:42:45][Kadir][code-comment][e907249a80748f11c8558f8ce5c8d7b832791c17]
 Run the orphan view tool to clean up orphan views
","[2018-11-16 01:03:03][Kadir OZDEMIR][issue:summary][PHOENIX-5025:13198797]
Tool to clean up orphan views"
Cassandra,No Relation,"[2011-12-06 02:11:50][Jonathan Ellis][code-comment][fe1e7fce60fbe2652a44e535e9bbd9bf04a0ef39]
 Up to a second of unneeded delay is acceptable, relative to the amount of time a typical stream
 takes.
","[2011-12-01 20:39:08][Peter Schuller][issue:comment][CASSANDRA-3494:13161134]
I can submit a patch to make this a tunable, defaulting to something semi-reasonable like 10. Do we however believe there are concurrency issues here? A very very brief sifting of the code looked to me like we're alright."
Incubator Pinot,SATD Repayment,"[2020-05-07 12:06:08][Neha Pawar][commit][bfd263a14d83a1764afbdd587f2a33a0576a31ef]
Remove some unused TimeFieldSpec related methods from Schema (#5347)

Another step towards Issue #2756. As I was making changes to Schema to treat TIME as DATE_TIME, found a subset of changes that can go prior to the bigger change.
Removing 3 methods from the Schema which are related to TimeFieldSpec
1. getIncomingTimeUnit - was unused
2. getOutgoingTimeUnit - was unused
3. getTimeColumnName - was able to remove the 4 usages
","[2020-05-07 00:58:55][npawar][pull:summary][5347]
Remove some unused TimeFieldSpec related methods from Schema"
Helix,SATD Duplication,"[2020-04-23 12:27:36][zhangmeng916][code-comment][fc3dfdc9f7fd0ec2fbdd41846f847e948e651cdd]
 TODO: remove the synchronization here once we move this update into dataCache.
","[2020-03-25 19:30:07][zhangmeng916][pull:comment][851:398115507]
I saw a todo here:
 // TODO: remove the synchronization here once we move this update into dataCache.
    synchronized (_lastSeenInstances) {
I'm not sure whether there's any pending task for this that could also apply here, so I kept it."
Lucene Solr,No Relation,"[2014-07-30 22:16:16][Robert Muir][commit][0368c604cc6bfcabf9c7f1c2afd0dd2e0fbb4a96]
LUCENE-5859: remove dead code: changes no runtime behavior, these are all unused variables

git-svn-id: https://svn.apache.org/repos/asf/lucene/dev/trunk@1614778 13f79535-47bb-0310-9956-ffa450edef68
","[2014-07-30 19:03:56][Robert Muir][issue:comment][LUCENE-5859:14079779]
{quote}
...I am -1 on this newer proposal...

    ... I'm now going down the path of removing Version completely. ...

...since it would effectively eliminate the ability for anyone to confidently upgrade Lucene minor versions, w/o re-indexing all data.
{quote}

This is already the case though. So I suppose you are volunteering to fix StandardAnalyzer on trunk to be backwards compatible with 4.0-4.6? 

We should at least be consistent. Its hilarious it has the Version parameter right now, doing nothing, providing no back compat, and yet there are -1's to clean this stuff up :)

The back compat here is clearly too complex."
Trafficcontrol,No Relation,"[2020-02-17 10:09:41][mattjackson220][code-comment][18fe13ac638557b5532813bce8ab3ad2d964fe49]
 The Waiter should only check the resource state MaxAttempts times
 This is here instead of in the for loop above to prevent delaying
 unnecessary when the waiter will not retry.
","[2020-01-29 18:32:30][ocket8888][pull:comment][3534:372556953]
Can you make this a link to the new cdn.conf section of the TO admin docs?"
Druid,SATD Repayment,"[2013-09-13 13:21:03][cheddar][commit][ef1ac46a7ebe69d916fe840cdc73b3087009f5b9]
Merge pull request #237 from metamx/is-ut

Rework tests in indexing service to be more unit testy
","[2013-09-12 23:39:39][fjy][pull:summary][237]
Rework tests in indexing service to be more unit testy"
Nifi,No Relation,"[2018-01-04 16:51:31][markap14][pull:comment][2371:159700877]
Do we have a specific license for this text? Is it included in the nar's LICENSE/NOTICE file? I'm just totally guessing that this wasn't test data that you made up just to test this? :)
","[2018-01-02 16:50:23][Andy LoPresto][issue:summary][NIFI-4727:13128020]
A frequent community request is to count (lines/words/characters) in arbitrary text. A {{CountTextProcessor}} would provide this functionality natively and with solid performance, rather than abusing the {{SplitText}} or {{ExecuteScript}} processors. 

It should provide the following functionality (simultaneously, given options):

* Line count
* Non-empty line count
* Word count
* Character count

The flowfile content should remain unchanged, and each of the above (if indicated) should be added as an attribute."
Beam,No Relation,"[2016-08-17 15:43:47][bchambers][code-comment][89367cfb19ae86d66441970277177512961d3b6a]
*
     * Generates code to invoke the target method. When this is called the delegate field will be on
     * top of the stack. This should add any necessary arguments to the stack and then perform the
     * method invocation.
","[2016-08-16 03:52:04][bjchambers][pull:comment][812:239994578]
A bunch of nits. I scanned the tests and things seem in order. Are there any of the old tests that you know you removed (it didn't look like it).

Assuming not, once the nits are addressed this LGTM.

I'd like to see these moved into a package related to the reflection -- it would allow us to use package visibility to connect the pieces while using public to control what is visible to the runner/SDK. That can happen in this PR (which introduces the multiple reflection related classes) or a followup."
Geode,SATD Repayment,"[2019-07-22 15:31:43][Juan José Ramos][commit][b86837818dcd6901a2249d295bca54c617057aa0]
GEODE-6875: Remove unused & deprecated API usage (#3813)

- Fixed warnings.
- Replaced deprecated API in Http Session.
- Replaced usage of internal API in Http Session.
- Removed unused classes and methods in Http Session.
","[2019-07-18 19:17:33][jujoramos][pull:summary][3813]
GEODE-6875: Remove unused & deprecated API usage"
Druid,No Relation,"[2016-06-14 19:48:49][gianm][pull:comment][2998:67043285]
I didn't do it that way because I thought many queries wouldn't need to spill at all. So I thought it would be better to keep the data in memory un-sorted at first, then sort the data immediately before writing to disk if necessary, rather than incur the overhead of keeping the map always-sorted on disk for every query.

And yeah, even if we do keep the map always-sorted on disk, as you pointed out the dictionary does need to be written and cleared too (to avoid unbounded heap usage for the dictionary). That would take some time. I think we do want to keep the dictionary in-heap for performance reasons (avoid too much serde of java.lang.String).
","[2016-05-19 17:36:35][gianm][issue:comment][2987:220397452]
I was thinking they would be fixed size just like the processing buffers (probably the same size to keep things simple). If a merge buffer isn't big enough to do the merging work, the query could either fail or it could write to temp files on disk (query's choice). If however much disk space we allow the queries to use is ALSO not enough then the query fails."
Accumulo,SATD Repayment,"[2015-02-13 20:19:10][Christopher Tubbs][commit][b889bb0923073346c6fbf85da3d43add6af3edbd]
ACCUMULO-3586 Clean up build warnings
","[2015-02-14 01:52:33][Christopher Tubbs][issue:comment][ACCUMULO-3586:14321132]
Applied patch to clean up lots of build warnings and generally stabilize the build output from maven plugin activity during the build."
Thrift,SATD Duplication,"[2016-02-13 11:04:14][kazuki-ma][pull:summary][858]
THRIFT-3627 fix missing basic code style consistency of JavaScript.
","[2016-02-13 10:35:55][Kazuki Matsuda][issue:summary][THRIFT-3627:12939019]
Missing basic code style consistency of JavaScript."
Beam,No Relation,"[2017-10-20 23:44:26][robertwb][pull:comment][4020:146087303]
No reason to have 2, changed to 1. 

Basically, this should periodically check for exceptions, and periodically release the lock in case the data for another thread came in.

However, this code isn't at all the easiest to follow. Changed to do the demultiplexing in the reader loop and use events to block. (In addition to being simpler, this should better extend itself to being able to return future-like objects for side inputs and state in the future.)
","[2018-05-08 16:59:52][Luke Cwik][issue:comment][BEAM-2927:16467691]
pull/5302 has current progress.

The remaining issue is to clean up some legacy usages of side inputs via a non portable way to get tests to pass. Also to put in the side input optimization."
Hadoop,No Relation,"[2019-03-12 18:54:59][Ajay Yadav][code-comment][15b6e38ddf2e88ce7813f5346ba6712ad501af80]
 According to AWS sigv4 documentation, authorization header should be
 in following format.
 Authorization: algorithm Credential=access key ID/credential scope,
 SignedHeaders=SignedHeaders, Signature=signature
","[2019-03-06 05:00:54][hadoop-yetus][pull:comment][561:262792326]
whitespace:tabs in line"
